category,case,sample,elapsed_ns,rows,hits,misses,evictions,selected_id
overhead,timer_pair,193,100,0,0,0,0,-1
overhead,timer_pair,194,0,0,0,0,0,-1
overhead,timer_pair,195,0,0,0,0,0,-1
overhead,timer_pair,196,100,0,0,0,0,-1
overhead,timer_pair,197,0,0,0,0,0,-1
overhead,timer_pair,198,0,0,0,0,0,-1
overhead,timer_pair,199,100,0,0,0,0,-1
overhead,timer_pair,200,0,0,0,0,0,-1
overhead,timer_pair,201,0,0,0,0,0,-1
overhead,timer_pair,202,0,0,0,0,0,-1
overhead,timer_pair,203,100,0,0,0,0,-1
overhead,timer_pair,204,0,0,0,0,0,-1
overhead,timer_pair,205,100,0,0,0,0,-1
overhead,timer_pair,206,0,0,0,0,0,-1
overhead,timer_pair,207,0,0,0,0,0,-1
overhead,timer_pair,208,0,0,0,0,0,-1
overhead,timer_pair,209,100,0,0,0,0,-1
overhead,timer_pair,210,0,0,0,0,0,-1
overhead,timer_pair,211,0,0,0,0,0,-1
overhead,timer_pair,212,100,0,0,0,0,-1
overhead,timer_pair,213,0,0,0,0,0,-1
overhead,timer_pair,214,0,0,0,0,0,-1
overhead,timer_pair,215,0,0,0,0,0,-1
overhead,timer_pair,216,0,0,0,0,0,-1
overhead,timer_pair,217,0,0,0,0,0,-1
overhead,timer_pair,218,0,0,0,0,0,-1
overhead,timer_pair,219,0,0,0,0,0,-1
overhead,timer_pair,220,0,0,0,0,0,-1
overhead,timer_pair,221,0,0,0,0,0,-1
overhead,timer_pair,222,0,0,0,0,0,-1
overhead,timer_pair,223,0,0,0,0,0,-1
overhead,timer_pair,224,0,0,0,0,0,-1
overhead,timer_pair,225,0,0,0,0,0,-1
overhead,timer_pair,226,100,0,0,0,0,-1
overhead,timer_pair,227,100,0,0,0,0,-1
overhead,timer_pair,228,100,0,0,0,0,-1
overhead,timer_pair,229,100,0,0,0,0,-1
overhead,timer_pair,230,100,0,0,0,0,-1
overhead,timer_pair,231,0,0,0,0,0,-1
overhead,timer_pair,232,0,0,0,0,0,-1
overhead,timer_pair,233,0,0,0,0,0,-1
overhead,timer_pair,234,100,0,0,0,0,-1
overhead,timer_pair,235,100,0,0,0,0,-1
overhead,timer_pair,236,100,0,0,0,0,-1
overhead,timer_pair,237,0,0,0,0,0,-1
overhead,timer_pair,238,0,0,0,0,0,-1
overhead,timer_pair,239,0,0,0,0,0,-1
overhead,timer_pair,240,100,0,0,0,0,-1
overhead,timer_pair,241,0,0,0,0,0,-1
overhead,timer_pair,242,100,0,0,0,0,-1
overhead,timer_pair,243,0,0,0,0,0,-1
overhead,timer_pair,244,0,0,0,0,0,-1
overhead,timer_pair,245,0,0,0,0,0,-1
overhead,timer_pair,246,100,0,0,0,0,-1
overhead,timer_pair,247,0,0,0,0,0,-1
overhead,timer_pair,248,100,0,0,0,0,-1
overhead,timer_pair,249,0,0,0,0,0,-1
overhead,timer_pair,250,100,0,0,0,0,-1
overhead,timer_pair,251,100,0,0,0,0,-1
overhead,timer_pair,252,100,0,0,0,0,-1
overhead,timer_pair,253,100,0,0,0,0,-1
overhead,timer_pair,254,0,0,0,0,0,-1
overhead,timer_pair,255,100,0,0,0,0,-1
overhead,timer_pair,256,0,0,0,0,0,-1
overhead,timer_pair,257,0,0,0,0,0,-1
