"commit","run","elapsed_s","cpu_s","percent_one_core","percent_machine","private_start_bytes","private_end_bytes","working_set_end_bytes"
"95feb454864907a29bcf84f629278dc861e10336","1","30.3954454","0.0625","0.20562291217486156","0.017135242681238463","175038464","174997504","131502080"
"95feb454864907a29bcf84f629278dc861e10336","2","30.3600891","0.015625","0.05146559336019867","0.004288799446683223","175763456","175722496","131416064"
"95feb454864907a29bcf84f629278dc861e10336","3","30.3749885","0.03125","0.10288069738693069","0.00857339144891089","176185344","176144384","131727360"
